job_number,job_date,job_state,service,tasker_number,job_value,tasker_payout
4992,2023-01-01,cancelled,heavy_cleaning,,223.0,183.0
2134,2023-01-01,cancelled,cleaning,1580,121.0,97.0
16021,2023-01-01,cancelled,cleaning,,141.0,90.0
8031,2023-01-01,cancelled,cleaning,,87.0,71.0
2089,2023-01-01,cancelled,cleaning,1998,145.0,117.0
2155,2023-01-01,cancelled,cleaning,1265,135.0,90.0
8592,2023-01-02,cancelled,cleaning,1733,129.0,97.0
2939,2023-01-02,cancelled,cleaning,,110.0,94.0
25276,2023-01-02,completed,heavy_cleaning,1489,217.0,180.0
9562,2023-01-02,completed,cleaning,1537,133.0,93.0
12897,2023-01-02,completed,cleaning,1908,170.0,127.0
5219,2023-01-02,cancelled,cleaning,1878,71.0,61.0
10635,2023-01-02,cancelled,cleaning,,144.0,120.0
25019,2023-01-02,completed,cleaning,1758,100.0,79.0
8892,2023-01-02,completed,cleaning,376,132.0,99.0
12608,2023-01-02,completed,cleaning,216,153.0,116.0
2353,2023-01-02,cancelled,cleaning,1147,131.0,109.0
9703,2023-01-02,cancelled,cleaning,,160.0,112.0
2396,2023-01-02,completed,cleaning,1813,122.0,79.0
21014,2023-01-02,completed,business_cleaning,44,248.0,205.0
9141,2023-01-02,cancelled,cleaning,132,68.0,50.0
3253,2023-01-02,completed,cleaning,1537,137.0,112.0
10371,2023-01-02,cancelled,cleaning,,159.0,123.0
12413,2023-01-02,completed,cleaning,1836,80.0,54.0
11042,2023-01-02,cancelled,cleaning,1106,165.0,112.0
2152,2023-01-02,cancelled,cleaning,,161.0,145.0
9572,2023-01-02,completed,cleaning,1295,121.0,107.0
2246,2023-01-02,cancelled,business_cleaning,273,95.0,51.0
3595,2023-01-02,completed,cleaning,1088,169.0,125.0
2218,2023-01-02,cancelled,cleaning,70,134.0,99.0
2607,2023-01-02,cancelled,cleaning,1679,100.0,81.0
11674,2023-01-02,cancelled,cleaning,,241.0,206.0
9776,2023-01-02,cancelled,cleaning,,199.0,147.0
3890,2023-01-02,completed,cleaning,1265,132.0,82.0
9828,2023-01-02,completed,cleaning,2700,178.0,122.0
9173,2023-01-02,cancelled,cleaning,,117.0,113.0
3605,2023-01-02,cancelled,cleaning,,119.0,84.0
2567,2023-01-02,cancelled,cleaning,,163.0,117.0
25014,2023-01-02,cancelled,cleaning,,103.0,76.0
25067,2023-01-02,cancelled,cleaning,2435,12.0,183.0
9282,2023-01-02,completed,business_cleaning,317,117.0,99.0
2278,2023-01-02,cancelled,cleaning,1468,90.0,55.0
25262,2023-01-02,cancelled,heavy_cleaning,2619,221.0,187.0
25262,2023-01-02,cancelled,heavy_cleaning,,217.0,184.0
17264,2023-01-02,completed,cleaning,1998,128.0,111.0
4682,2023-01-02,cancelled,cleaning,2610,199.0,135.0
2350,2023-01-02,cancelled,cleaning,,118.0,137.0
23802,2023-01-02,completed,furniture_assembly,967,76.0,54.0
25116,2023-01-02,completed,cleaning,1909,123.0,74.0
10944,2023-01-02,cancelled,cleaning,,265.0,194.0
9834,2023-01-02,cancelled,cleaning,580,176.0,158.0
10612,2023-01-02,completed,cleaning,2139,169.0,117.0
2450,2023-01-02,cancelled,cleaning,,106.0,81.0
14924,2023-01-02,cancelled,cleaning,2277,89.0,67.0
25064,2023-01-02,cancelled,furniture_assembly,2494,85.0,65.0
25039,2023-01-02,completed,furniture_assembly,778,36.0,43.0
6594,2023-01-02,cancelled,cleaning,,84.0,79.0
24826,2023-01-02,completed,cleaning,358,219.0,191.0
20472,2023-01-02,cancelled,cleaning,,146.0,110.0
2413,2023-01-02,completed,cleaning,183,141.0,124.0
2198,2023-01-02,cancelled,cleaning,160,119.0,81.0
9533,2023-01-02,cancelled,cleaning,1288,137.0,107.0
1415,2023-01-02,cancelled,cleaning,,114.0,89.0
9179,2023-01-02,cancelled,ironing,,157.0,112.0
843,2023-01-02,completed,cleaning,1132,98.0,92.0
2374,2023-01-02,completed,cleaning,357,124.0,109.0
17521,2023-01-02,cancelled,cleaning,,88.0,51.0
2395,2023-01-02,completed,cleaning,886,136.0,110.0
9656,2023-01-02,cancelled,cleaning,1516,160.0,112.0
25036,2023-01-02,completed,furniture_assembly,454,47.0,73.0
18074,2023-01-02,completed,cleaning,1448,160.0,112.0
2342,2023-01-02,completed,cleaning,524,116.0,93.0
25046,2023-01-02,completed,furniture_assembly,967,19.0,73.0
2262,2023-01-02,cancelled,cleaning,,160.0,134.0
9763,2023-01-02,completed,cleaning,1473,179.0,129.0
9189,2023-01-02,cancelled,cleaning,,210.0,185.0
10304,2023-01-02,completed,cleaning,2649,144.0,118.0
25061,2023-01-02,cancelled,furniture_assembly,759,86.0,81.0
9515,2023-01-02,completed,cleaning,1607,93.0,90.0
14786,2023-01-02,cancelled,heavy_cleaning,,340.0,279.0
5205,2023-01-02,cancelled,cleaning,1782,-2.0,69.0
9328,2023-01-02,cancelled,cleaning,,108.0,70.0
25250,2023-01-02,completed,cleaning,1004,129.0,109.0
9807,2023-01-02,completed,business_cleaning,183,162.0,160.0
24273,2023-01-02,completed,cleaning,1021,127.0,94.0
2275,2023-01-02,cancelled,cleaning,,103.0,90.0
17309,2023-01-02,cancelled,cleaning,,252.0,240.0
8842,2023-01-02,cancelled,cleaning,,98.0,71.0
8883,2023-01-02,completed,cleaning,2442,146.0,127.0
2287,2023-01-02,completed,cleaning,2391,171.0,109.0
1288,2023-01-03,cancelled,cleaning,,125.0,98.0
3437,2023-01-03,cancelled,cleaning,,102.0,76.0
25634,2023-01-03,completed,cleaning,1455,150.0,95.0
11917,2023-01-03,cancelled,cleaning,,185.0,137.0
24950,2023-01-03,completed,cleaning,2609,157.0,106.0
26169,2023-01-03,completed,cleaning,2517,128.0,83.0
10294,2023-01-03,cancelled,cleaning,1833,164.0,117.0
2522,2023-01-03,cancelled,cleaning,2007,107.0,73.0
23389,2023-01-03,cancelled,cleaning,2665,78.0,77.0
25562,2023-01-03,completed,ironing,2273,95.0,60.0
1427,2023-01-03,cancelled,heavy_cleaning,1618,215.0,186.0
7420,2023-01-03,completed,cleaning,1526,140.0,125.0
9422,2023-01-03,cancelled,cleaning,2315,92.0,71.0
2058,2023-01-03,cancelled,cleaning,25,148.0,122.0
26313,2023-01-03,completed,furniture_assembly,1418,93.0,56.0
8186,2023-01-03,cancelled,cleaning,2508,135.0,92.0
10283,2023-01-03,cancelled,cleaning,2283,103.0,97.0
2542,2023-01-03,cancelled,cleaning,,168.0,130.0
2496,2023-01-03,completed,cleaning,1233,105.0,77.0
11930,2023-01-03,cancelled,cleaning,1366,203.0,144.0
3261,2023-01-03,completed,cleaning,2356,189.0,140.0
4428,2023-01-03,completed,cleaning,2140,106.0,67.0
24786,2023-01-03,completed,cleaning,835,133.0,89.0
1994,2023-01-03,completed,cleaning,1813,131.0,110.0
826,2023-01-03,completed,cleaning,2127,134.0,109.0
10405,2023-01-03,completed,cleaning,17,76.0,84.0
2548,2023-01-03,cancelled,cleaning,,84.0,71.0
1799,2023-01-03,completed,cleaning,70,107.0,80.0
4058,2023-01-03,cancelled,cleaning,39,126.0,91.0
3006,2023-01-03,cancelled,cleaning,1469,179.0,134.0
2486,2023-01-03,completed,cleaning,1927,114.0,87.0
10500,2023-01-03,cancelled,cleaning,161,189.0,125.0
459,2023-01-03,cancelled,heavy_cleaning,1484,183.0,152.0
22132,2023-01-03,completed,ironing,2662,79.0,60.0
9955,2023-01-03,cancelled,cleaning,,277.0,215.0
11788,2023-01-03,completed,cleaning,2439,138.0,123.0
2449,2023-01-03,completed,cleaning,2018,98.0,71.0
21224,2023-01-03,cancelled,business_cleaning,,120.0,117.0
6017,2023-01-03,cancelled,cleaning,945,153.0,131.0
25219,2023-01-03,completed,cleaning,253,143.0,84.0
10177,2023-01-03,cancelled,cleaning,,132.0,87.0
10554,2023-01-03,completed,cleaning,52,122.0,96.0
25915,2023-01-03,cancelled,remodeling_cleaning,1410,263.0,222.0
10235,2023-01-03,cancelled,cleaning,160,153.0,122.0
15628,2023-01-03,cancelled,cleaning,2870,93.0,66.0
2465,2023-01-03,cancelled,cleaning,882,125.0,85.0
9723,2023-01-03,completed,cleaning,2333,169.0,133.0
644,2023-01-03,completed,ironing,44,110.0,99.0
73,2023-01-03,cancelled,heavy_cleaning,585,206.0,182.0
23997,2023-01-03,cancelled,cleaning,2123,-12.0,115.0
816,2023-01-03,cancelled,heavy_cleaning,,352.0,346.0
9463,2023-01-03,cancelled,cleaning,1267,165.0,118.0
9463,2023-01-03,cancelled,cleaning,1375,144.0,133.0
2917,2023-01-03,completed,cleaning,2375,118.0,86.0
2699,2023-01-03,cancelled,heavy_cleaning,,450.0,365.0
2627,2023-01-03,cancelled,heavy_cleaning,477,223.0,189.0
25736,2023-01-03,completed,furniture_assembly,374,43.0,32.0
1402,2023-01-03,cancelled,heavy_cleaning,,382.0,321.0
9166,2023-01-03,cancelled,cleaning,,123.0,104.0
2498,2023-01-03,cancelled,cleaning,1541,127.0,85.0
2633,2023-01-03,completed,ironing,2405,92.0,70.0
26043,2023-01-03,completed,cleaning,297,150.0,102.0
4057,2023-01-03,cancelled,cleaning,904,96.0,101.0
2539,2023-01-03,cancelled,cleaning,1932,175.0,123.0
1063,2023-01-03,cancelled,cleaning,,85.0,78.0
2596,2023-01-03,cancelled,cleaning,344,125.0,102.0
24260,2023-01-03,completed,cleaning,316,104.0,98.0
25689,2023-01-03,completed,business_cleaning,2119,182.0,100.0
23632,2023-01-03,completed,cleaning,2275,175.0,148.0
5880,2023-01-03,completed,cleaning,1998,110.0,73.0
24285,2023-01-03,completed,cleaning,1766,177.0,134.0
10407,2023-01-03,completed,cleaning,85,110.0,65.0
